都道府県	市区町村	町名
京都府	京都市北区	出雲路神楽町
京都府	京都市北区	出雲路立テ本町
京都府	京都市北区	出雲路俵町
京都府	京都市北区	出雲路松ノ下町
京都府	京都市北区	大北山鏡石町
京都府	京都市北区	大北山天神岡町
京都府	京都市北区	大北山蓮ケ谷町
京都府	京都市北区	大北山長谷町
京都府	京都市北区	大北山原谷乾町
京都府	京都市北区	大北山不動山町
京都府	京都市北区	大北山鷲峯町
京都府	京都市北区	大宮一ノ井町
京都府	京都市北区	大宮上ノ岸町
京都府	京都市北区	大宮北椿原町
京都府	京都市北区	大宮北ノ岸町
京都府	京都市北区	大宮北箱ノ井町
京都府	京都市北区	大宮北林町
京都府	京都市北区	大宮北山ノ前町
京都府	京都市北区	大宮玄琢北東町
京都府	京都市北区	大宮玄琢北町
京都府	京都市北区	大宮玄琢南町
京都府	京都市北区	大宮釈迦谷
京都府	京都市北区	大宮田尻町
京都府	京都市北区	大宮土居町
京都府	京都市北区	大宮中総門口町
京都府	京都市北区	大宮中ノ社町
京都府	京都市北区	大宮中林町
京都府	京都市北区	大宮西小野堀町
京都府	京都市北区	大宮西総門口町
京都府	京都市北区	大宮西野山町
京都府	京都市北区	大宮西山ノ前町
京都府	京都市北区	大宮西脇台町
京都府	京都市北区	大宮東小野堀町
京都府	京都市北区	大宮東総門口町
京都府	京都市北区	大宮東脇台町
京都府	京都市北区	大宮開町
京都府	京都市北区	大宮南田尻町
京都府	京都市北区	大宮南椿原町
京都府	京都市北区	大宮南箱ノ井町
京都府	京都市北区	大宮南林町
京都府	京都市北区	大宮南山ノ前町
京都府	京都市北区	大宮薬師山西町
京都府	京都市北区	大宮薬師山東町
京都府	京都市北区	大森芦堂町
京都府	京都市北区	大森稲荷
京都府	京都市北区	大森中町
京都府	京都市北区	大森西町
京都府	京都市北区	大森東町
京都府	京都市北区	小野岩戸
京都府	京都市北区	小野上ノ町
京都府	京都市北区	小野下ノ町
京都府	京都市北区	小野中ノ町
京都府	京都市北区	小野宮ノ上町
京都府	京都市北区	上賀茂葵田町
京都府	京都市北区	上賀茂葵之森町
京都府	京都市北区	上賀茂赤尾町
京都府	京都市北区	上賀茂朝露ケ原町
京都府	京都市北区	上賀茂畔勝町
京都府	京都市北区	上賀茂荒草町
京都府	京都市北区	上賀茂池殿町
京都府	京都市北区	上賀茂池端町
京都府	京都市北区	上賀茂石計町
京都府	京都市北区	上賀茂壱町口町
京都府	京都市北区	上賀茂今井河原町
京都府	京都市北区	上賀茂岩ケ垣内町
京都府	京都市北区	上賀茂馬ノ目町
京都府	京都市北区	上賀茂梅ケ辻町
京都府	京都市北区	上賀茂烏帽子ケ垣内町
京都府	京都市北区	上賀茂大柳町
京都府	京都市北区	上賀茂岡本口町
京都府	京都市北区	上賀茂岡本町
京都府	京都市北区	上賀茂音保瀬町
京都府	京都市北区	上賀茂上神原町
京都府	京都市北区	上賀茂北大路町
京都府	京都市北区	上賀茂北ノ原町
京都府	京都市北区	上賀茂毛穴井町
京都府	京都市北区	上賀茂ケシ山
京都府	京都市北区	上賀茂神山
京都府	京都市北区	上賀茂榊田町
京都府	京都市北区	上賀茂坂口町
京都府	京都市北区	上賀茂桜井町
京都府	京都市北区	上賀茂下神原町
京都府	京都市北区	上賀茂十三石山
京都府	京都市北区	上賀茂菖蒲園町
京都府	京都市北区	上賀茂蝉ケ垣内町
京都府	京都市北区	上賀茂高縄手町
京都府	京都市北区	上賀茂竹ケ鼻町
京都府	京都市北区	上賀茂土門町
京都府	京都市北区	上賀茂津ノ国町
京都府	京都市北区	上賀茂豊田町
京都府	京都市北区	上賀茂中大路町
京都府	京都市北区	上賀茂中嶋河原町
京都府	京都市北区	上賀茂中ノ河原町
京都府	京都市北区	上賀茂中ノ坂町
京都府	京都市北区	上賀茂中山町
京都府	京都市北区	上賀茂二軒家町
京都府	京都市北区	上賀茂西上之段町
京都府	京都市北区	上賀茂西河原町
京都府	京都市北区	上賀茂西後藤町
京都府	京都市北区	上賀茂狭間町
京都府	京都市北区	上賀茂柊谷町
京都府	京都市北区	上賀茂東上之段町
京都府	京都市北区	上賀茂東後藤町
京都府	京都市北区	上賀茂備後田町
京都府	京都市北区	上賀茂藤ノ木町
京都府	京都市北区	上賀茂舟着町
京都府	京都市北区	上賀茂前田町
京都府	京都市北区	上賀茂松本町
京都府	京都市北区	上賀茂御薗口町
京都府	京都市北区	上賀茂深泥池町
京都府	京都市北区	上賀茂南大路町
京都府	京都市北区	上賀茂向梅町
京都府	京都市北区	上賀茂向縄手町
京都府	京都市北区	上賀茂女夫岩町
京都府	京都市北区	上賀茂本山
京都府	京都市北区	上賀茂薮田町
京都府	京都市北区	上賀茂山本町
京都府	京都市北区	上賀茂六段田町
京都府	京都市北区	上御霊上江町
京都府	京都市北区	上清蔵口町
京都府	京都市北区	北野上白梅町
京都府	京都市北区	北野紅梅町
京都府	京都市北区	北野下白梅町
京都府	京都市北区	北野西白梅町
京都府	京都市北区	北野東紅梅町
京都府	京都市北区	衣笠赤阪町
京都府	京都市北区	衣笠荒見町
京都府	京都市北区	衣笠大祓町
京都府	京都市北区	衣笠街道町
京都府	京都市北区	衣笠鏡石町
京都府	京都市北区	衣笠北荒見町
京都府	京都市北区	衣笠北高橋町
京都府	京都市北区	衣笠北天神森町
京都府	京都市北区	衣笠衣笠山町
京都府	京都市北区	衣笠御所ノ内町
京都府	京都市北区	衣笠総門町
京都府	京都市北区	衣笠高橋町
京都府	京都市北区	衣笠天神森町
京都府	京都市北区	衣笠西御所ノ内町
京都府	京都市北区	衣笠西尊上院町
京都府	京都市北区	衣笠西馬場町
京都府	京都市北区	衣笠西開キ町
京都府	京都市北区	衣笠馬場町
京都府	京都市北区	衣笠東御所ノ内町
京都府	京都市北区	衣笠東尊上院町
京都府	京都市北区	衣笠東開キ町
京都府	京都市北区	衣笠氷室町
京都府	京都市北区	衣笠開キ町
京都府	京都市北区	金閣寺町
京都府	京都市北区	雲ケ畑出谷町
京都府	京都市北区	雲ケ畑中津川町
京都府	京都市北区	雲ケ畑中畑町
京都府	京都市北区	鞍馬口町
京都府	京都市北区	小松原北町
京都府	京都市北区	小松原南町
京都府	京都市北区	小山板倉町
京都府	京都市北区	小山上板倉町
京都府	京都市北区	小山上内河原町
京都府	京都市北区	小山上初音町
京都府	京都市北区	小山上花ノ木町
京都府	京都市北区	小山上総町
京都府	京都市北区	小山北大野町
京都府	京都市北区	小山北上総町
京都府	京都市北区	小山北玄以町
京都府	京都市北区	小山下板倉町
京都府	京都市北区	小山下内河原町
京都府	京都市北区	小山下初音町
京都府	京都市北区	小山下花ノ木町
京都府	京都市北区	小山下総町
京都府	京都市北区	小山中溝町
京都府	京都市北区	小山西大野町
京都府	京都市北区	小山西上総町
京都府	京都市北区	小山西玄以町
京都府	京都市北区	小山西花池町
京都府	京都市北区	小山西元町
京都府	京都市北区	小山初音町
京都府	京都市北区	小山花ノ木町
京都府	京都市北区	小山東大野町
京都府	京都市北区	小山東玄以町
京都府	京都市北区	小山東花池町
京都府	京都市北区	小山東元町
京都府	京都市北区	小山堀池町
京都府	京都市北区	小山南大野町
京都府	京都市北区	小山南上総町
京都府	京都市北区	小山元町
京都府	京都市北区	小山町
京都府	京都市北区	紫竹牛若町
京都府	京都市北区	紫竹上梅ノ木町
京都府	京都市北区	紫竹上高才町
京都府	京都市北区	紫竹上芝本町
京都府	京都市北区	紫竹上園生町
京都府	京都市北区	紫竹上竹殿町
京都府	京都市北区	紫竹上長目町
京都府	京都市北区	紫竹上ノ岸町
京都府	京都市北区	紫竹上堀川町
京都府	京都市北区	紫竹上本町
京都府	京都市北区	紫竹上緑町
京都府	京都市北区	紫竹北栗栖町
京都府	京都市北区	紫竹北大門町
京都府	京都市北区	紫竹栗栖町
京都府	京都市北区	紫竹下梅ノ木町
京都府	京都市北区	紫竹下高才町
京都府	京都市北区	紫竹下芝本町
京都府	京都市北区	紫竹下園生町
京都府	京都市北区	紫竹下竹殿町
京都府	京都市北区	紫竹下長目町
京都府	京都市北区	紫竹下ノ岸町
京都府	京都市北区	紫竹下本町
京都府	京都市北区	紫竹下緑町
京都府	京都市北区	紫竹西南町
京都府	京都市北区	紫竹西北町
京都府	京都市北区	紫竹大門町
京都府	京都市北区	紫竹高縄町
京都府	京都市北区	紫竹竹殿町
京都府	京都市北区	紫竹西栗栖町
京都府	京都市北区	紫竹西大門町
京都府	京都市北区	紫竹西高縄町
京都府	京都市北区	紫竹西野山町
京都府	京都市北区	紫竹西野山東町
京都府	京都市北区	紫竹西桃ノ本町
京都府	京都市北区	紫竹東栗栖町
京都府	京都市北区	紫竹東大門町
京都府	京都市北区	紫竹東高縄町
京都府	京都市北区	紫竹東桃ノ本町
京都府	京都市北区	紫竹桃ノ本町
京都府	京都市北区	上善寺門前町
京都府	京都市北区	新御霊口町
京都府	京都市北区	杉阪北尾
京都府	京都市北区	杉阪道風町
京都府	京都市北区	杉阪都町
京都府	京都市北区	大将軍一条町
京都府	京都市北区	大将軍川端町
京都府	京都市北区	大将軍坂田町
京都府	京都市北区	大将軍西鷹司町
京都府	京都市北区	大将軍西町
京都府	京都市北区	大将軍東鷹司町
京都府	京都市北区	大将軍南一条町
京都府	京都市北区	鷹峯大谷町
京都府	京都市北区	鷹峯上ノ町
京都府	京都市北区	鷹峯北鷹峯町
京都府	京都市北区	鷹峯木ノ畑町
京都府	京都市北区	鷹峯旧土居町
京都府	京都市北区	鷹峯黒門町
京都府	京都市北区	鷹峯光悦町
京都府	京都市北区	鷹峯千束町
京都府	京都市北区	鷹峯土天井町
京都府	京都市北区	鷹峯堂ノ庭町
京都府	京都市北区	鷹峯藤林町
京都府	京都市北区	鷹峯仏谷
京都府	京都市北区	鷹峯堀越町
京都府	京都市北区	鷹峯南鷹峯町
京都府	京都市北区	長乗西町
京都府	京都市北区	長乗東町
京都府	京都市北区	天寧寺門前町
京都府	京都市北区	等持院北町
京都府	京都市北区	等持院中町
京都府	京都市北区	等持院西町
京都府	京都市北区	等持院東町
京都府	京都市北区	等持院南町
京都府	京都市北区	中川川登
京都府	京都市北区	中川北山町
京都府	京都市北区	中川中山
京都府	京都市北区	中川西山
京都府	京都市北区	中川東山
京都府	京都市北区	西賀茂井ノ口町
京都府	京都市北区	西賀茂今原町
京都府	京都市北区	西賀茂大栗町
京都府	京都市北区	西賀茂大道口町
京都府	京都市北区	西賀茂大深町
京都府	京都市北区	西賀茂蛙ケ谷
京都府	京都市北区	西賀茂柿ノ木町
京都府	京都市北区	西賀茂笠松
京都府	京都市北区	西賀茂蟹ケ坂町
京都府	京都市北区	西賀茂鹿ノ下町
京都府	京都市北区	西賀茂上庄田町
京都府	京都市北区	西賀茂川上町
京都府	京都市北区	西賀茂北今原町
京都府	京都市北区	西賀茂北川上町
京都府	京都市北区	西賀茂北鎮守菴町
京都府	京都市北区	西賀茂北山ノ森町
京都府	京都市北区	西賀茂下庄田町
京都府	京都市北区	西賀茂城山
京都府	京都市北区	西賀茂神光院町
京都府	京都市北区	西賀茂角社町
京都府	京都市北区	西賀茂鎮守菴町
京都府	京都市北区	西賀茂中川上町
京都府	京都市北区	西賀茂西氷室町
京都府	京都市北区	西賀茂榿ノ木町
京都府	京都市北区	西賀茂樋ノ口町
京都府	京都市北区	西賀茂氷室町
京都府	京都市北区	西賀茂船山
京都府	京都市北区	西賀茂坊ノ後町
京都府	京都市北区	西賀茂蓬来谷
京都府	京都市北区	西賀茂丸川町
京都府	京都市北区	西賀茂円峰
京都府	京都市北区	西賀茂水垣町
京都府	京都市北区	西賀茂南今原町
京都府	京都市北区	西賀茂南大栗町
京都府	京都市北区	西賀茂南川上町
京都府	京都市北区	西賀茂山ノ森町
