都道府県	市区町村	町名
兵庫県	神戸市東灘区	魚崎中町
兵庫県	神戸市東灘区	魚崎西町
兵庫県	神戸市東灘区	魚崎南町
兵庫県	神戸市東灘区	魚崎北町
兵庫県	神戸市東灘区	魚崎浜町
兵庫県	神戸市東灘区	渦森台
兵庫県	神戸市東灘区	青木
兵庫県	神戸市東灘区	岡本
兵庫県	神戸市東灘区	鴨子ケ原
兵庫県	神戸市東灘区	北青木
兵庫県	神戸市東灘区	甲南台
兵庫県	神戸市東灘区	甲南町
兵庫県	神戸市東灘区	向洋町中
兵庫県	神戸市東灘区	向洋町東
兵庫県	神戸市東灘区	向洋町西
兵庫県	神戸市東灘区	住吉台
兵庫県	神戸市東灘区	住吉浜町
兵庫県	神戸市東灘区	住吉本町
兵庫県	神戸市東灘区	住吉東町
兵庫県	神戸市東灘区	住吉南町
兵庫県	神戸市東灘区	住吉宮町
兵庫県	神戸市東灘区	住吉山手
兵庫県	神戸市東灘区	田中町
兵庫県	神戸市東灘区	西岡本
兵庫県	神戸市東灘区	深江浜町
兵庫県	神戸市東灘区	深江本町
兵庫県	神戸市東灘区	深江南町
兵庫県	神戸市東灘区	深江北町
兵庫県	神戸市東灘区	本庄町
兵庫県	神戸市東灘区	御影
兵庫県	神戸市東灘区	御影石町
兵庫県	神戸市東灘区	御影郡家
兵庫県	神戸市東灘区	御影塚町
兵庫県	神戸市東灘区	御影中町
兵庫県	神戸市東灘区	御影浜町
兵庫県	神戸市東灘区	御影本町
兵庫県	神戸市東灘区	御影山手
兵庫県	神戸市東灘区	本山北町
兵庫県	神戸市東灘区	本山町岡本
兵庫県	神戸市東灘区	本山町北畑
兵庫県	神戸市東灘区	本山町田中
兵庫県	神戸市東灘区	本山町田辺
兵庫県	神戸市東灘区	本山町森（７４８－１番地）
兵庫県	神戸市東灘区	本山中町
兵庫県	神戸市東灘区	本山南町
兵庫県	神戸市東灘区	森北町
兵庫県	神戸市東灘区	森南町
兵庫県	神戸市灘区	青谷町
兵庫県	神戸市灘区	赤坂通
兵庫県	神戸市灘区	赤松町
兵庫県	神戸市灘区	天城通
兵庫県	神戸市灘区	泉通
兵庫県	神戸市灘区	一王山町
兵庫県	神戸市灘区	岩屋
兵庫県	神戸市灘区	岩屋北町
兵庫県	神戸市灘区	岩屋中町
兵庫県	神戸市灘区	岩屋南町
兵庫県	神戸市灘区	上野（小ヤバ三ノ休原）
兵庫県	神戸市灘区	上野通
兵庫県	神戸市灘区	烏帽子町
兵庫県	神戸市灘区	王子町
兵庫県	神戸市灘区	大石北町
兵庫県	神戸市灘区	大石東町
兵庫県	神戸市灘区	大石南町
兵庫県	神戸市灘区	大内通
兵庫県	神戸市灘区	大月台
兵庫県	神戸市灘区	大土平町
兵庫県	神戸市灘区	上河原通
兵庫県	神戸市灘区	神ノ木通
兵庫県	神戸市灘区	神前町
兵庫県	神戸市灘区	岸地通
兵庫県	神戸市灘区	記田町
兵庫県	神戸市灘区	楠丘町
兵庫県	神戸市灘区	国玉通
兵庫県	神戸市灘区	倉石通
兵庫県	神戸市灘区	高徳町
兵庫県	神戸市灘区	五毛
兵庫県	神戸市灘区	五毛通
兵庫県	神戸市灘区	桜ケ丘町
兵庫県	神戸市灘区	桜口町
兵庫県	神戸市灘区	鹿ノ下通
兵庫県	神戸市灘区	篠原伯母野山町
兵庫県	神戸市灘区	篠原北町
兵庫県	神戸市灘区	篠原台
兵庫県	神戸市灘区	篠原中町
兵庫県	神戸市灘区	篠原本町
兵庫県	神戸市灘区	篠原南町
兵庫県	神戸市灘区	篠原（その他）
兵庫県	神戸市灘区	下河原通
兵庫県	神戸市灘区	将軍通
兵庫県	神戸市灘区	城内通
兵庫県	神戸市灘区	城の下通
兵庫県	神戸市灘区	新在家南町
兵庫県	神戸市灘区	新在家北町
兵庫県	神戸市灘区	水車新田
兵庫県	神戸市灘区	水道筋
兵庫県	神戸市灘区	千旦通
兵庫県	神戸市灘区	曾和町
兵庫県	神戸市灘区	高尾通
兵庫県	神戸市灘区	高羽
兵庫県	神戸市灘区	高羽町
兵庫県	神戸市灘区	土山町
兵庫県	神戸市灘区	鶴甲
兵庫県	神戸市灘区	寺口町
兵庫県	神戸市灘区	徳井町
兵庫県	神戸市灘区	友田町
兵庫県	神戸市灘区	中郷町
兵庫県	神戸市灘区	中原通
兵庫県	神戸市灘区	永手町
兵庫県	神戸市灘区	長峰台
兵庫県	神戸市灘区	灘北通
兵庫県	神戸市灘区	灘浜町
兵庫県	神戸市灘区	灘浜東町
兵庫県	神戸市灘区	灘南通
兵庫県	神戸市灘区	畑原（ノタ山）
兵庫県	神戸市灘区	畑原通
兵庫県	神戸市灘区	浜田町
兵庫県	神戸市灘区	原田
兵庫県	神戸市灘区	原田通
兵庫県	神戸市灘区	稗原町
兵庫県	神戸市灘区	日尾町
兵庫県	神戸市灘区	琵琶町
兵庫県	神戸市灘区	備後町
兵庫県	神戸市灘区	深田町
兵庫県	神戸市灘区	福住通
兵庫県	神戸市灘区	船寺通
兵庫県	神戸市灘区	摩耶海岸通
兵庫県	神戸市灘区	摩耶山
兵庫県	神戸市灘区	摩耶山町
兵庫県	神戸市灘区	摩耶埠頭
兵庫県	神戸市灘区	味泥町
兵庫県	神戸市灘区	箕岡通
兵庫県	神戸市灘区	都通
兵庫県	神戸市灘区	宮山町
兵庫県	神戸市灘区	森後町
兵庫県	神戸市灘区	薬師通
兵庫県	神戸市灘区	八幡町
兵庫県	神戸市灘区	山田町
兵庫県	神戸市灘区	大和町
兵庫県	神戸市灘区	弓木町
兵庫県	神戸市灘区	六甲山町
兵庫県	神戸市灘区	六甲台町
兵庫県	神戸市灘区	六甲町
兵庫県	神戸市兵庫区	芦原通
兵庫県	神戸市兵庫区	荒田町
兵庫県	神戸市兵庫区	石井町
兵庫県	神戸市兵庫区	磯之町
兵庫県	神戸市兵庫区	今出在家町
兵庫県	神戸市兵庫区	入江通
兵庫県	神戸市兵庫区	梅元町
兵庫県	神戸市兵庫区	永沢町
