都道府県	市区町村	町名
大阪府	大阪市都島区	網島町
大阪府	大阪市都島区	内代町
大阪府	大阪市都島区	片町
大阪府	大阪市都島区	毛馬町
大阪府	大阪市都島区	善源寺町
大阪府	大阪市都島区	大東町
大阪府	大阪市都島区	高倉町
大阪府	大阪市都島区	友渕町
大阪府	大阪市都島区	中野町
大阪府	大阪市都島区	東野田町
大阪府	大阪市都島区	都島中通
大阪府	大阪市都島区	都島本通
大阪府	大阪市都島区	都島南通
大阪府	大阪市都島区	都島北通
大阪府	大阪市都島区	御幸町
大阪府	大阪市福島区	海老江
大阪府	大阪市福島区	大開
大阪府	大阪市福島区	鷺洲
大阪府	大阪市福島区	玉川
大阪府	大阪市福島区	野田
大阪府	大阪市福島区	福島
大阪府	大阪市福島区	吉野
大阪府	大阪市此花区	朝日
大阪府	大阪市此花区	梅町
大阪府	大阪市此花区	春日出中
大阪府	大阪市此花区	春日出南
大阪府	大阪市此花区	春日出北
大阪府	大阪市此花区	桜島
大阪府	大阪市此花区	四貫島
大阪府	大阪市此花区	島屋
大阪府	大阪市此花区	高見
大阪府	大阪市此花区	常吉
大阪府	大阪市此花区	伝法
大阪府	大阪市此花区	酉島
大阪府	大阪市此花区	西九条
大阪府	大阪市此花区	梅香
大阪府	大阪市此花区	北港
大阪府	大阪市此花区	北港白津
大阪府	大阪市此花区	北港緑地
大阪府	大阪市此花区	夢洲中
大阪府	大阪市此花区	夢洲東
大阪府	大阪市西区	安治川
大阪府	大阪市西区	阿波座
大阪府	大阪市西区	立売堀
大阪府	大阪市西区	靱本町
大阪府	大阪市西区	江戸堀
大阪府	大阪市西区	江之子島
大阪府	大阪市西区	川口
大阪府	大阪市西区	北堀江
大阪府	大阪市西区	京町堀
大阪府	大阪市西区	九条
大阪府	大阪市西区	九条南
大阪府	大阪市西区	境川
大阪府	大阪市西区	新町
大阪府	大阪市西区	千代崎
大阪府	大阪市西区	土佐堀
大阪府	大阪市西区	西本町
大阪府	大阪市西区	本田
大阪府	大阪市西区	南堀江
大阪府	大阪市港区	池島
大阪府	大阪市港区	石田
大阪府	大阪市港区	磯路
大阪府	大阪市港区	市岡
