都道府県	市区町村	町名
奈良県	奈良市	青垣台
奈良県	奈良市	青野町
奈良県	奈良市	青山
奈良県	奈良市	赤膚町
奈良県	奈良市	秋篠早月町
奈良県	奈良市	秋篠三和町
奈良県	奈良市	秋篠新町
奈良県	奈良市	秋篠町
奈良県	奈良市	朝日町
奈良県	奈良市	阿字万字町
奈良県	奈良市	油阪地方町
奈良県	奈良市	油阪町
奈良県	奈良市	尼辻中町
奈良県	奈良市	尼辻西町
奈良県	奈良市	尼辻南町
奈良県	奈良市	尼辻北町
奈良県	奈良市	尼辻町
奈良県	奈良市	あやめ池南
奈良県	奈良市	あやめ池北
奈良県	奈良市	藺生町
奈良県	奈良市	池田町
奈良県	奈良市	池之町
奈良県	奈良市	石木町
奈良県	奈良市	井上町
奈良県	奈良市	今市町
奈良県	奈良市	今小路町
奈良県	奈良市	今在家町
奈良県	奈良市	今辻子町
奈良県	奈良市	今御門町
奈良県	奈良市	陰陽町
奈良県	奈良市	右京
奈良県	奈良市	歌姫町
奈良県	奈良市	荻町
奈良県	奈良市	邑地町
奈良県	奈良市	大野町
奈良県	奈良市	大渕町
奈良県	奈良市	大保町
奈良県	奈良市	大宮町
奈良県	奈良市	大森町
奈良県	奈良市	大森西町
奈良県	奈良市	大柳生町
奈良県	奈良市	大倭町
奈良県	奈良市	大和田町
奈良県	奈良市	小川町
奈良県	奈良市	興ヶ原町
奈良県	奈良市	奥子守町
奈良県	奈良市	奥芝町
奈良県	奈良市	小倉町
奈良県	奈良市	押上町
奈良県	奈良市	押熊町
奈良県	奈良市	押小路町
奈良県	奈良市	大平尾町
奈良県	奈良市	肘塚町
奈良県	奈良市	鵲町
奈良県	奈良市	柏木町
奈良県	奈良市	春日野町
奈良県	奈良市	桂木町
奈良県	奈良市	上三条町
奈良県	奈良市	上深川町
奈良県	奈良市	杏町
奈良県	奈良市	川上町
奈良県	奈良市	川久保町
奈良県	奈良市	川之上町
奈良県	奈良市	川之上突抜町
奈良県	奈良市	瓦堂町
奈良県	奈良市	漢国町
奈良県	奈良市	学園赤松町
奈良県	奈良市	学園朝日町
奈良県	奈良市	学園朝日元町
奈良県	奈良市	学園新田町
奈良県	奈良市	学園大和町
奈良県	奈良市	学園中
奈良県	奈良市	学園緑ヶ丘
奈良県	奈良市	学園南
