都道府県	市区町村	町名
滋賀県	大津市	青山
滋賀県	大津市	赤尾町
滋賀県	大津市	あかね町
滋賀県	大津市	秋葉台
滋賀県	大津市	朝日
滋賀県	大津市	朝日が丘
滋賀県	大津市	穴太
滋賀県	大津市	荒川
滋賀県	大津市	粟津町
滋賀県	大津市	伊香立上在地町
滋賀県	大津市	伊香立下在地町
滋賀県	大津市	伊香立上龍華町
滋賀県	大津市	伊香立下龍華町
滋賀県	大津市	伊香立北在地町
滋賀県	大津市	伊香立途中町
滋賀県	大津市	伊香立生津町
滋賀県	大津市	伊香立南庄町
滋賀県	大津市	伊香立向在地町
滋賀県	大津市	池の里
滋賀県	大津市	石居
滋賀県	大津市	石場
滋賀県	大津市	石山内畑町
滋賀県	大津市	石山千町
滋賀県	大津市	石山外畑町
滋賀県	大津市	石山寺
滋賀県	大津市	石山寺辺町
滋賀県	大津市	一里山
滋賀県	大津市	稲津
滋賀県	大津市	稲葉台
滋賀県	大津市	今堅田
滋賀県	大津市	打出浜
滋賀県	大津市	梅林
滋賀県	大津市	枝
滋賀県	大津市	追分町
滋賀県	大津市	逢坂
滋賀県	大津市	皇子が丘
滋賀県	大津市	大石小田原
滋賀県	大津市	大石小田原町
滋賀県	大津市	大石曽束
滋賀県	大津市	大石曽束町
滋賀県	大津市	大石富川
滋賀県	大津市	大石富川町
滋賀県	大津市	大石中
滋賀県	大津市	大石東
滋賀県	大津市	大石淀
滋賀県	大津市	大石淀町
滋賀県	大津市	大石龍門
滋賀県	大津市	大江
滋賀県	大津市	大萱
滋賀県	大津市	仰木
滋賀県	大津市	仰木町
滋賀県	大津市	仰木の里
滋賀県	大津市	仰木の里東
滋賀県	大津市	大谷町
滋賀県	大津市	大鳥居
滋賀県	大津市	大平
滋賀県	大津市	雄琴
滋賀県	大津市	雄琴北
滋賀県	大津市	音羽台
滋賀県	大津市	小野
滋賀県	大津市	尾花川
滋賀県	大津市	園城寺町
滋賀県	大津市	鏡が浜
滋賀県	大津市	春日町
滋賀県	大津市	堅田
滋賀県	大津市	葛川梅ノ木町
滋賀県	大津市	葛川木戸口町
滋賀県	大津市	葛川坂下町
滋賀県	大津市	葛川中村町
滋賀県	大津市	葛川貫井町
滋賀県	大津市	葛川細川町
滋賀県	大津市	葛川坊村町
滋賀県	大津市	葛川町居町
滋賀県	大津市	上田上桐生町
滋賀県	大津市	上田上芝原町
滋賀県	大津市	上田上新免町
滋賀県	大津市	上田上堂町
滋賀県	大津市	上田上中野町
滋賀県	大津市	上田上平野町
滋賀県	大津市	上田上牧町
滋賀県	大津市	神出開町
滋賀県	大津市	萱野浦
滋賀県	大津市	唐崎
滋賀県	大津市	唐橋町
滋賀県	大津市	勧学
滋賀県	大津市	観音寺
滋賀県	大津市	北大路
滋賀県	大津市	北小松
滋賀県	大津市	北比良
滋賀県	大津市	木戸
滋賀県	大津市	衣川
滋賀県	大津市	木下町
滋賀県	大津市	京町
滋賀県	大津市	桐生
滋賀県	大津市	栗林町
滋賀県	大津市	栗原
滋賀県	大津市	黒津
滋賀県	大津市	向陽町
滋賀県	大津市	国分
滋賀県	大津市	湖城が丘
滋賀県	大津市	湖青
滋賀県	大津市	小関町
滋賀県	大津市	御殿浜
滋賀県	大津市	木の岡町
滋賀県	大津市	御陵町
滋賀県	大津市	際川
滋賀県	大津市	栄町
滋賀県	大津市	坂本
滋賀県	大津市	坂本本町
滋賀県	大津市	相模町
滋賀県	大津市	桜野町
滋賀県	大津市	里
滋賀県	大津市	三大寺
滋賀県	大津市	滋賀里
滋賀県	大津市	芝原
滋賀県	大津市	島の関
滋賀県	大津市	下阪本
滋賀県	大津市	松陽
滋賀県	大津市	昭和町
滋賀県	大津市	神宮町
滋賀県	大津市	新免
滋賀県	大津市	神領
滋賀県	大津市	水明
滋賀県	大津市	末広町
滋賀県	大津市	杉浦町
滋賀県	大津市	清風町
滋賀県	大津市	晴嵐
滋賀県	大津市	清和町
滋賀県	大津市	関津
滋賀県	大津市	膳所
滋賀県	大津市	膳所池ノ内町
滋賀県	大津市	膳所上別保町
滋賀県	大津市	膳所平尾町
滋賀県	大津市	瀬田
滋賀県	大津市	瀬田大江町
滋賀県	大津市	瀬田神領町
滋賀県	大津市	瀬田月輪町
滋賀県	大津市	瀬田橋本町
滋賀県	大津市	瀬田南大萱町
滋賀県	大津市	千石台
滋賀県	大津市	千町
滋賀県	大津市	園山
滋賀県	大津市	太子
滋賀県	大津市	大物
滋賀県	大津市	大門通
滋賀県	大津市	高砂町
滋賀県	大津市	竜が丘
滋賀県	大津市	田辺町
滋賀県	大津市	玉野浦
滋賀県	大津市	大将軍
滋賀県	大津市	千野
滋賀県	大津市	茶が崎
滋賀県	大津市	茶戸町
滋賀県	大津市	中央
滋賀県	大津市	月輪
滋賀県	大津市	鶴の里
滋賀県	大津市	堂
滋賀県	大津市	鳥居川町
滋賀県	大津市	中庄
滋賀県	大津市	中野
滋賀県	大津市	長等
滋賀県	大津市	南郷
滋賀県	大津市	南郷上山町
滋賀県	大津市	におの浜
滋賀県	大津市	錦織
滋賀県	大津市	西の庄
滋賀県	大津市	二本松
滋賀県	大津市	苗鹿
滋賀県	大津市	野郷原
滋賀県	大津市	羽栗
滋賀県	大津市	蓮池町
滋賀県	大津市	八屋戸
滋賀県	大津市	花園町
滋賀県	大津市	浜大津
滋賀県	大津市	浜町
滋賀県	大津市	馬場
滋賀県	大津市	比叡平
滋賀県	大津市	比叡辻
滋賀県	大津市	光が丘町
滋賀県	大津市	日吉台
滋賀県	大津市	平津
滋賀県	大津市	平野
滋賀県	大津市	藤尾奥町
滋賀県	大津市	富士見台
滋賀県	大津市	札の辻
滋賀県	大津市	別保
滋賀県	大津市	螢谷
滋賀県	大津市	本堅田
滋賀県	大津市	本丸町
滋賀県	大津市	牧
滋賀県	大津市	松が丘
滋賀県	大津市	松原町
滋賀県	大津市	松本
滋賀県	大津市	松山町
滋賀県	大津市	真野
滋賀県	大津市	真野家田町
滋賀県	大津市	真野大野
滋賀県	大津市	真野佐川町
滋賀県	大津市	真野谷口町
滋賀県	大津市	真野普門
滋賀県	大津市	丸の内町
滋賀県	大津市	三井寺町
滋賀県	大津市	美崎町
滋賀県	大津市	見世
滋賀県	大津市	美空町
滋賀県	大津市	緑町
滋賀県	大津市	南小松
滋賀県	大津市	南志賀
滋賀県	大津市	南滋賀町
滋賀県	大津市	南比良
滋賀県	大津市	南船路
滋賀県	大津市	御幸町
滋賀県	大津市	本宮
滋賀県	大津市	森
滋賀県	大津市	柳が崎
滋賀県	大津市	柳川
滋賀県	大津市	山上町
滋賀県	大津市	山中町
滋賀県	大津市	山百合の丘
滋賀県	大津市	弥生町
滋賀県	大津市	由美浜
滋賀県	大津市	陽明町
滋賀県	大津市	横木
滋賀県	大津市	若葉台
滋賀県	大津市	和邇今宿
滋賀県	大津市	和邇春日
滋賀県	大津市	和邇北浜
滋賀県	大津市	和邇高城
滋賀県	大津市	和邇中
滋賀県	大津市	和邇中浜
滋賀県	大津市	和邇南浜
滋賀県	彦根市	旭町
滋賀県	彦根市	安食中町
滋賀県	彦根市	池州町
滋賀県	彦根市	石寺町
滋賀県	彦根市	稲枝町
滋賀県	彦根市	稲里町
滋賀県	彦根市	稲部町
滋賀県	彦根市	犬方町
滋賀県	彦根市	宇尾町（８９７番地及び中島５０５～５１８番地）
滋賀県	彦根市	宇尾町（その他）
滋賀県	彦根市	駅東町
滋賀県	彦根市	大橋町
滋賀県	彦根市	大堀町
滋賀県	彦根市	大藪町
滋賀県	彦根市	男鬼町
滋賀県	彦根市	岡町
滋賀県	彦根市	尾末町
滋賀県	彦根市	小野町
滋賀県	彦根市	海瀬町
滋賀県	彦根市	開出今町
滋賀県	彦根市	賀田山町
滋賀県	彦根市	金沢町
滋賀県	彦根市	金田町
滋賀県	彦根市	上稲葉町
滋賀県	彦根市	上岡部町
滋賀県	彦根市	上西川町
滋賀県	彦根市	川瀬馬場町
滋賀県	彦根市	河原
滋賀県	彦根市	甘呂町
滋賀県	彦根市	京町
滋賀県	彦根市	清崎町
滋賀県	彦根市	銀座町
滋賀県	彦根市	小泉町
滋賀県	彦根市	甲崎町
滋賀県	彦根市	甲田町
滋賀県	彦根市	広野町
滋賀県	彦根市	極楽寺町
滋賀県	彦根市	後三条町
滋賀県	彦根市	金亀町
滋賀県	彦根市	金剛寺町
滋賀県	彦根市	幸町
滋賀県	彦根市	栄町
滋賀県	彦根市	笹尾町
滋賀県	彦根市	薩摩町
滋賀県	彦根市	里根町
滋賀県	彦根市	佐和町
滋賀県	彦根市	佐和山町
滋賀県	彦根市	地蔵町
滋賀県	彦根市	下稲葉町
滋賀県	彦根市	下岡部町
滋賀県	彦根市	下西川町
滋賀県	彦根市	下矢倉町
滋賀県	彦根市	荘厳寺町
滋賀県	彦根市	正法寺町
滋賀県	彦根市	城町
滋賀県	彦根市	新海町
滋賀県	彦根市	新海浜
滋賀県	彦根市	新町
滋賀県	彦根市	須越町
滋賀県	彦根市	芹川町
滋賀県	彦根市	芹中町
滋賀県	彦根市	芹橋
滋賀県	彦根市	芹町
滋賀県	彦根市	善谷町
滋賀県	彦根市	太堂町
滋賀県	彦根市	大東町
滋賀県	彦根市	高宮町
滋賀県	彦根市	竹ケ鼻町
滋賀県	彦根市	立花町
滋賀県	彦根市	田附町
滋賀県	彦根市	田原町
滋賀県	彦根市	千尋町
滋賀県	彦根市	中央町
滋賀県	彦根市	辻堂町
滋賀県	彦根市	葛籠町
滋賀県	彦根市	出路町
滋賀県	彦根市	出町
滋賀県	彦根市	戸賀町
滋賀県	彦根市	外町
滋賀県	彦根市	鳥居本町
滋賀県	彦根市	中藪
滋賀県	彦根市	中藪町
滋賀県	彦根市	中山町
滋賀県	彦根市	長曽根町
滋賀県	彦根市	長曽根南町
滋賀県	彦根市	西今町
滋賀県	彦根市	錦町
滋賀県	彦根市	西葛籠町
滋賀県	彦根市	西沼波町
滋賀県	彦根市	楡町
滋賀県	彦根市	野口町
滋賀県	彦根市	野瀬町
滋賀県	彦根市	野田山町
滋賀県	彦根市	沼波町
滋賀県	彦根市	野良田町
滋賀県	彦根市	橋向町
滋賀県	彦根市	八坂町
滋賀県	彦根市	服部町
滋賀県	彦根市	原町
滋賀県	彦根市	馬場
滋賀県	彦根市	東沼波町
滋賀県	彦根市	彦富町
滋賀県	彦根市	肥田町
滋賀県	彦根市	日夏町
滋賀県	彦根市	平田町
滋賀県	彦根市	普光寺町
滋賀県	彦根市	仏生寺町
滋賀県	彦根市	武奈町
滋賀県	彦根市	船町
滋賀県	彦根市	古沢町
滋賀県	彦根市	法士町
滋賀県	彦根市	堀町
滋賀県	彦根市	本庄町
滋賀県	彦根市	本町
滋賀県	彦根市	松原
滋賀県	彦根市	松原町
滋賀県	彦根市	三津町
滋賀県	彦根市	三津屋町
滋賀県	彦根市	南川瀬町
滋賀県	彦根市	南三ツ谷町
滋賀県	彦根市	宮田町
滋賀県	彦根市	元岡町
滋賀県	彦根市	元町
滋賀県	彦根市	森堂町
滋賀県	彦根市	安清町
滋賀県	彦根市	安清東町
滋賀県	彦根市	柳川町
滋賀県	彦根市	山之脇町
滋賀県	彦根市	蓮台寺町
滋賀県	彦根市	和田町
滋賀県	長浜市	浅井高原
滋賀県	長浜市	朝日町
滋賀県	長浜市	安養寺町
滋賀県	長浜市	池奥町
滋賀県	長浜市	石田町
滋賀県	長浜市	泉町
滋賀県	長浜市	一の宮町
滋賀県	長浜市	稲葉町
滋賀県	長浜市	今川町
滋賀県	長浜市	今荘町
滋賀県	長浜市	今町
滋賀県	長浜市	飯山町
滋賀県	長浜市	内保町
滋賀県	長浜市	瓜生町
滋賀県	長浜市	上野町
滋賀県	長浜市	永久寺町
滋賀県	長浜市	榎木町
滋賀県	長浜市	大井町
滋賀県	長浜市	大戌亥町
滋賀県	長浜市	大島町
滋賀県	長浜市	太田町
滋賀県	長浜市	大辰巳町
滋賀県	長浜市	大浜町
滋賀県	長浜市	大東町
滋賀県	長浜市	大宮町
滋賀県	長浜市	大依町
滋賀県	長浜市	岡谷町
滋賀県	長浜市	小谷上山田町
滋賀県	長浜市	小谷郡上町
滋賀県	長浜市	小谷美濃山町
滋賀県	長浜市	小谷丁野町
滋賀県	長浜市	落合町
滋賀県	長浜市	大路町
滋賀県	長浜市	小野寺町
滋賀県	長浜市	垣籠町
滋賀県	長浜市	柿ノ木
滋賀県	長浜市	鍛冶屋町
滋賀県	長浜市	加田今町
滋賀県	長浜市	加田町
滋賀県	長浜市	勝町
滋賀県	長浜市	鐘紡町
滋賀県	長浜市	加納町
滋賀県	長浜市	神照町
滋賀県	長浜市	上八木町
滋賀県	長浜市	唐国町
滋賀県	長浜市	川崎町
滋賀県	長浜市	川道町
滋賀県	長浜市	木尾町
滋賀県	長浜市	祇園町
滋賀県	長浜市	北池町
滋賀県	長浜市	北ノ郷町
滋賀県	長浜市	北野町
滋賀県	長浜市	北船町
滋賀県	長浜市	木之本町赤尾
滋賀県	長浜市	木之本町アットリ
滋賀県	長浜市	木之本町石道
滋賀県	長浜市	木之本町大音
滋賀県	長浜市	木之本町大見
滋賀県	長浜市	木之本町音羽
滋賀県	長浜市	木之本町金居原
滋賀県	長浜市	木之本町川合
滋賀県	長浜市	木之本町北布施
滋賀県	長浜市	木之本町木之本
滋賀県	長浜市	木之本町黒田
滋賀県	長浜市	木之本町小山
滋賀県	長浜市	木之本町杉野
滋賀県	長浜市	木之本町杉本
滋賀県	長浜市	木之本町千田
滋賀県	長浜市	木之本町田居
滋賀県	長浜市	木之本町田部
滋賀県	長浜市	木之本町西山
滋賀県	長浜市	木之本町飯浦（坂尻）
滋賀県	長浜市	木之本町飯浦（その他）
滋賀県	長浜市	木之本町廣瀬
滋賀県	長浜市	木之本町古橋
滋賀県	長浜市	木之本町山梨子
滋賀県	長浜市	草野町
滋賀県	長浜市	国友町
滋賀県	長浜市	口分田町
滋賀県	長浜市	黒部町
滋賀県	長浜市	小一条町
滋賀県	長浜市	公園町
滋賀県	長浜市	香花寺町
滋賀県	長浜市	郷野町
滋賀県	長浜市	小観音寺町
滋賀県	長浜市	小沢町
滋賀県	長浜市	湖北今町
滋賀県	長浜市	湖北高田町
滋賀県	長浜市	湖北町青名
滋賀県	長浜市	湖北町石川
滋賀県	長浜市	湖北町伊部
滋賀県	長浜市	湖北町今西
滋賀県	長浜市	湖北町海老江
滋賀県	長浜市	湖北町延勝寺
滋賀県	長浜市	湖北町小倉
滋賀県	長浜市	湖北町尾上
滋賀県	長浜市	湖北町賀
滋賀県	長浜市	湖北町河毛
滋賀県	長浜市	湖北町小今
滋賀県	長浜市	湖北町五坪
滋賀県	長浜市	湖北町沢
滋賀県	長浜市	湖北町大安寺
滋賀県	長浜市	湖北町田中
滋賀県	長浜市	湖北町津里
滋賀県	長浜市	湖北町留目
滋賀県	長浜市	湖北町猫口
滋賀県	長浜市	湖北町速水
滋賀県	長浜市	湖北町二俣
滋賀県	長浜市	湖北町別所
滋賀県	長浜市	湖北町南速水
滋賀県	長浜市	湖北町馬渡
